hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar), P4 (kW), Q4 (kvar)
0, 0.00000, 3.65659, 0.929684, 3.32526, 1.45381, 3.03729, 0.905329, 0, 0
0, 0.00000, 3.35818, 0.781819, 3.12751, 1.36915, 2.73436, 0.876252, 0, 0
0, 0.00000, 2.76032, 0.639241, 2.91953, 1.05497, 2.47974, 0.985302, 0, 0
0, 0.00000, 2.77387, 0.688161, 2.99949, 1.0151, 2.60334, 1.04728, 0, 0
0, 0.00000, 2.8345, 0.573929, 2.9809, 1.1429, 2.41481, 0.985644, 0, 0
0, 0.00000, 2.78108, 0.480447, 2.8291, 1.19774, 2.18382, 0.881212, 0, 0
0, 0.00000, 2.60605, 0.622184, 2.69672, 0.995863, 2.32769, 0.887811, 0, 0
0, 0.00000, 2.7725, 0.705357, 2.64521, 1.0767, 2.38734, 0.781082, 0, 0
0, 0.00000, 2.61788, 0.680038, 2.63979, 0.977435, 2.37125, 0.847928, 0, 0
0, 0.00000, 3.28584, 1.41935, 2.59312, 0.992339, 3.30992, 0.6056, 0, 0
0, 0.00000, 2.69965, 0.556068, 2.90789, 1.06774, 2.36046, 0.992617, 0, 0
0, 0.00000, 2.66571, 0.624481, 4.28944, 0.704953, 3.40627, 2.07088, 0, 0
0, 0.00000, 3.13502, 0.920074, 4.45836, 0.823891, 3.87855, 2.01782, 0, 0
0, 0.00000, 4.23712, 0.679254, 7.10623, 1.26593, 5.15901, 3.45792, 0, 0
0, 0.00000, 7.51369, 3.1653, 6.49368, 2.18956, 7.85098, 1.79219, 0, 0
0, 0.00000, 7.86866, 2.91241, 8.95159, 2.12063, 9.09329, 3.45222, 0, 0
0, 0.00000, 7.95566, 2.31525, 7.77971, 2.83694, 7.41619, 2.4249, 0, 0
0, 0.00000, 9.55247, 2.14233, 7.32687, 4.26296, 6.6078, 1.28033, 0, 0
0, 0.00000, 10.5381, -0.258886, 9.53244, 6.17217, 4.46706, 2.10098, 0, 0
0, 0.00000, 8.8179, 0.0276118, 8.21284, 4.95482, 4.24879, 1.97732, 0, 0
0, 0.00000, 7.90445, 0.689449, 9.18983, 3.60466, 6.01919, 3.26646, 0, 0
0, 0.00000, 5.99705, 1.17215, 6.67973, 2.35949, 5.30881, 2.35899, 0, 0
0, 0.00000, 6.32463, 1.57817, 5.01354, 2.68412, 4.71319, 0.997541, 0, 0
0, 0.00000, 4.67453, 2.17646, 4.54213, 1.12096, 5.52271, 1.53258, 0, 0
0, 0.00000, 5.6015, 2.91523, 4.80693, 1.26629, 6.63372, 1.40004, 0, 0
0, 0.00000, 7.74598, 3.13072, 5.37291, 2.62654, 7.00071, 0.822846, 0, 0
0, 0.00000, 6.17505, 3.39988, 3.94796, 1.54654, 6.67032, 0.54177, 0, 0
0, 0.00000, 5.19781, 2.28558, 4.49212, 1.45591, 5.5646, 1.25846, 0, 0
0, 0.00000, 6.10359, 1.29244, 5.02739, 2.71, 4.33929, 1.07141, 0, 0
0, 0.00000, 7.8032, 2.85136, 5.30847, 2.87289, 6.54187, 0.70199, 0, 0
0, 0.00000, 7.48476, 1.59392, 6.97725, 3.14318, 5.89008, 1.93211, 0, 0
0, 0.00000, 9.30823, 3.2365, 7.9459, 3.2031, 8.65937, 2.04013, 0, 0
0, 0.00000, 9.27222, 1.5073, 9.77036, 3.96697, 7.38945, 3.17466, 0, 0
0, 0.00000, 10.5301, 1.77505, 10.5125, 4.57989, 8.09175, 3.17001, 0, 0
0, 0.00000, 17.9683, 2.15038, 16.7225, 8.61653, 11.749, 4.33364, 0, 0
0, 0.00000, 14.0562, 4.0139, 13.0857, 5.1806, 12.5639, 3.76152, 0, 0
0, 0.00000, 12.97, 3.84311, 12.529, 4.59252, 12.1019, 3.83869, 0, 0
0, 0.00000, 12.1283, 2.53191, 13.1715, 4.71617, 10.7541, 4.5348, 0, 0
0, 0.00000, 16.9324, 2.80641, 16.6113, 7.4341, 12.7641, 4.86274, 0, 0
0, 0.00000, 13.0322, 1.37986, 13.9553, 6.00766, 9.48161, 4.5091, 0, 0
0, 0.00000, 11.1583, 0.764639, 11.3066, 5.55973, 7.07837, 3.30408, 0, 0
0, 0.00000, 9.80581, 1.31403, 10.179, 4.40716, 7.3121, 3.19175, 0, 0
0, 0.00000, 13.6848, 1.42201, 12.1755, 6.85433, 8.22929, 2.84912, 0, 0
0, 0.00000, 11.2976, 2.77963, 9.26591, 4.74235, 8.58727, 2.00734, 0, 0
0, 0.00000, 8.00179, 2.10604, 8.02607, 2.9654, 7.26951, 2.55866, 0, 0
0, 0.00000, 6.35493, 1.916, 6.26895, 2.2147, 6.05337, 1.99143, 0, 0
0, 0.00000, 5.32114, 1.60541, 5.26071, 1.85289, 5.07666, 1.6772, 0, 0
0, 0.00000, 4.77262, 1.47577, 3.73242, 1.845, 3.93396, 0.760072, 0, 0
0, 0.00000, 3.88649, 1.1551, 3.20672, 1.5002, 3.24839, 0.739339, 0, 0
0, 0.00000, 3.1318, 0.823638, 2.54615, 1.29027, 2.43529, 0.550153, 0, 0
0, 0.00000, 2.73367, 0.682534, 2.54063, 1.08454, 2.28912, 0.71666, 0, 0
0, 0.00000, 2.64636, 0.626157, 2.49782, 1.06549, 2.19169, 0.717498, 0, 0
0, 0.00000, 2.71886, 0.762222, 2.31954, 1.06539, 2.25692, 0.568214, 0, 0
0, 0.00000, 2.5908, 0.673292, 2.25612, 1.04188, 2.10445, 0.568003, 0, 0
0, 0.00000, 2.82715, 0.634952, 2.43666, 1.20989, 2.13424, 0.584679, 0, 0
0, 0.00000, 2.74082, 0.758294, 2.42306, 1.06306, 2.31821, 0.635726, 0, 0
0, 0.00000, 2.71943, 0.692718, 2.61101, 1.05216, 2.354, 0.778818, 0, 0
0, 0.00000, 2.88474, 0.77054, 2.59121, 1.12906, 2.42769, 0.695882, 0, 0
0, 0.00000, 4.09762, 0.376061, 3.52631, 2.1209, 2.30131, 0.755403, 0, 0
0, 0.00000, 3.00153, 0.757887, 4.1871, 0.891735, 3.47718, 1.8516, 0, 0
0, 0.00000, 3.51436, 0.878294, 4.0328, 1.23151, 3.46711, 1.50422, 0, 0
0, 0.00000, 4.22223, 0.553175, 5.99762, 1.57737, 4.22039, 2.60404, 0, 0
0, 0.00000, 6.64392, 2.34649, 5.45994, 2.30905, 6.08642, 1.3025, 0, 0
0, 0.00000, 8.18725, 1.79365, 8.71986, 3.17333, 7.25726, 2.94785, 0, 0
0, 0.00000, 9.62271, 0.339751, 9.9354, 4.9811, 5.75796, 2.9424, 0, 0
0, 0.00000, 9.51871, 1.13763, 10.2306, 4.3021, 7.13172, 3.34435, 0, 0
0, 0.00000, 6.08745, 0.918209, 6.84963, 2.56778, 5.03846, 2.4058, 0, 0
0, 0.00000, 7.52431, 0.803817, 9.10362, 3.25742, 6.18525, 3.40344, 0, 0
0, 0.00000, 8.46332, 2.32184, 7.50923, 3.2763, 7.16165, 1.97506, 0, 0
0, 0.00000, 7.4373, 2.24415, 6.34364, 2.79881, 6.41216, 1.57556, 0, 0
0, 0.00000, 4.69382, 1.83779, 4.27342, 1.42495, 4.84175, 1.26678, 0, 0
0, 0.00000, 6.8237, 1.92141, 6.17139, 2.58584, 5.92323, 1.68999, 0, 0
0, 0.00000, 4.89384, 1.69902, 5.5782, 1.39567, 5.49772, 2.13948, 0, 0
0, 0.00000, 6.12614, 1.77848, 5.63025, 2.26784, 5.45515, 1.59457, 0, 0
0, 0.00000, 5.08944, 1.35974, 4.40903, 2.02246, 4.17612, 1.10278, 0, 0
0, 0.00000, 5.4446, 1.08071, 4.89476, 2.37965, 4.04539, 1.25584, 0, 0
0, 0.00000, 6.51496, 4.04429, 3.90694, 1.36472, 7.53632, 0.441609, 0, 0
0, 0.00000, 4.24859, 1.33207, 4.11759, 1.46357, 4.06935, 1.28454, 0, 0
0, 0.00000, 5.74919, 2.11753, 5.59013, 1.76055, 5.97912, 1.80071, 0, 0
0, 0.00000, 10.1703, 1.05359, 9.77172, 4.9496, 6.59726, 2.66634, 0, 0
0, 0.00000, 9.56831, 2.33117, 10.2818, 3.52118, 8.89229, 3.54723, 0, 0
0, 0.00000, 8.89585, 3.35823, 9.51445, 2.47607, 9.96762, 3.45036, 0, 0
